Language	Lambda	Quantile	Samples
Dutch	0.18	0.54545456171	55
Dutch	0.2	0.581818163395	55
Dutch	0.22	0.618181824684	55
Dutch	0.24	0.654545426369	55
Dutch	0.26	0.7090908885	55
Dutch	0.28	0.7090908885	55
Dutch	0.3	0.781818211079	55
Dutch	0.32	0.800000011921	55
Dutch	0.34	0.818181812763	55
Dutch	0.36	0.818181812763	55
Dutch	0.38	0.818181812763	55
Dutch	0.4	0.854545474052	55
Dutch	0.42	0.872727274895	55
Dutch	0.44	0.890909075737	55
Dutch	0.46	0.890909075737	55
Dutch	0.48	0.927272737026	55
Dutch	0.5	0.927272737026	55
Dutch	0.52	0.945454537868	55
Dutch	0.54	0.945454537868	55
Dutch	0.56	0.945454537868	55
Dutch	0.58	0.945454537868	55
Dutch	0.6	0.945454537868	55
Dutch	0.62	0.963636338711	55
Dutch	0.64	0.963636338711	55
Dutch	0.66	0.963636338711	55
Dutch	0.68	0.963636338711	55
Dutch	0.7	0.963636338711	55
Dutch	0.72	0.963636338711	55
Dutch	0.74	0.963636338711	55
Dutch	0.76	0.981818199158	55
Dutch	0.78	0.981818199158	55
Dutch	0.8	0.981818199158	55
Dutch	0.82	0.981818199158	55
Dutch	0.84	1.0	55
Dutch	0.86	1.0	55
Dutch	0.88	1.0	55
Dutch	0.9	1.0	55
Dutch	0.92	1.0	55
Dutch	0.94	1.0	55
Dutch	0.96	1.0	55
Dutch	0.98	1.0	55
English	0.0	1.0	53
English	0.02	1.0	53
English	0.04	1.0	53
English	0.06	1.0	53
English	0.08	1.0	53
English	0.1	1.0	53
English	0.12	1.0	53
English	0.14	1.0	53
English	0.16	1.0	53
English	0.18	1.0	53
English	0.2	1.0	53
English	0.22	1.0	53
English	0.24	1.0	53
English	0.26	1.0	53
English	0.28	1.0	53
English	0.3	1.0	53
English	0.32	1.0	53
English	0.34	1.0	53
English	0.36	1.0	53
English	0.38	1.0	53
English	0.4	1.0	53
English	0.42	1.0	53
English	0.44	1.0	53
English	0.46	1.0	53
English	0.48	1.0	53
English	0.5	1.0	53
English	0.52	1.0	53
English	0.54	1.0	53
English	0.56	1.0	53
English	0.58	1.0	53
English	0.6	1.0	53
English	0.62	1.0	53
English	0.64	1.0	53
English	0.66	1.0	53
English	0.68	1.0	53
English	0.7	1.0	53
English	0.72	1.0	53
English	0.74	1.0	53
English	0.76	1.0	53
English	0.78	1.0	53
English	0.8	1.0	53
English	0.82	1.0	53
English	0.84	1.0	53
English	0.86	1.0	53
English	0.88	1.0	53
English	0.9	1.0	53
English	0.92	1.0	53
English	0.94	1.0	53
English	0.96	1.0	53
English	0.98	1.0	53
Estonian	0.0	0.964285731316	56
Estonian	0.02	0.964285731316	56
Estonian	0.04	0.964285731316	56
Estonian	0.06	0.964285731316	56
Estonian	0.08	0.964285731316	56
Estonian	0.1	0.964285731316	56
Estonian	0.12	0.964285731316	56
Estonian	0.14	0.964285731316	56
Estonian	0.16	0.964285731316	56
Estonian	0.18	0.964285731316	56
Estonian	0.2	0.964285731316	56
Estonian	0.22	0.964285731316	56
Estonian	0.24	0.964285731316	56
Estonian	0.26	0.964285731316	56
Estonian	0.28	0.982142865658	56
Estonian	0.3	0.982142865658	56
Estonian	0.32	0.982142865658	56
Estonian	0.34	0.982142865658	56
Estonian	0.36	0.982142865658	56
Estonian	0.38	0.982142865658	56
Estonian	0.4	0.982142865658	56
Estonian	0.42	0.982142865658	56
Estonian	0.44	0.982142865658	56
Estonian	0.46	0.982142865658	56
Estonian	0.48	0.982142865658	56
Estonian	0.5	0.982142865658	56
Estonian	0.52	0.982142865658	56
Estonian	0.54	0.982142865658	56
Estonian	0.56	0.982142865658	56
Estonian	0.58	0.982142865658	56
Estonian	0.6	0.982142865658	56
Estonian	0.62	0.982142865658	56
Estonian	0.64	0.982142865658	56
Estonian	0.66	0.982142865658	56
Estonian	0.68	0.982142865658	56
Estonian	0.7	0.982142865658	56
Estonian	0.72	0.982142865658	56
Estonian	0.74	0.982142865658	56
Estonian	0.76	0.982142865658	56
Estonian	0.78	0.982142865658	56
Estonian	0.8	0.982142865658	56
Estonian	0.82	0.982142865658	56
Estonian	0.84	0.982142865658	56
Estonian	0.86	0.982142865658	56
Estonian	0.88	0.964285731316	56
Estonian	0.9	0.964285731316	56
Estonian	0.92	0.964285731316	56
Estonian	0.94	0.964285731316	56
Estonian	0.96	0.964285731316	56
Estonian	0.98	0.964285731316	56
Finnish	0.0	0.745454549789	55
Finnish	0.02	0.745454549789	55
Finnish	0.04	0.745454549789	55
Finnish	0.06	0.763636350632	55
Finnish	0.08	0.763636350632	55
Finnish	0.1	0.781818211079	55
Finnish	0.12	0.781818211079	55
Finnish	0.14	0.800000011921	55
Finnish	0.16	0.836363613605	55
Finnish	0.18	0.836363613605	55
Finnish	0.2	0.836363613605	55
Finnish	0.22	0.872727274895	55
Finnish	0.24	0.872727274895	55
Finnish	0.26	0.890909075737	55
Finnish	0.28	0.890909075737	55
Finnish	0.3	0.890909075737	55
Finnish	0.32	0.890909075737	55
Finnish	0.34	0.890909075737	55
Finnish	0.36	0.890909075737	55
Finnish	0.38	0.890909075737	55
Finnish	0.4	0.909090936184	55
Finnish	0.42	0.909090936184	55
Finnish	0.44	0.909090936184	55
Finnish	0.46	0.909090936184	55
Finnish	0.48	0.909090936184	55
Finnish	0.5	0.927272737026	55
Finnish	0.52	0.927272737026	55
Finnish	0.54	0.927272737026	55
Finnish	0.56	0.927272737026	55
Finnish	0.58	0.927272737026	55
Finnish	0.6	0.927272737026	55
Finnish	0.62	0.927272737026	55
Finnish	0.64	0.945454537868	55
Finnish	0.66	0.945454537868	55
Finnish	0.68	0.945454537868	55
Finnish	0.7	0.945454537868	55
Finnish	0.72	0.945454537868	55
Finnish	0.74	0.945454537868	55
Finnish	0.76	0.945454537868	55
Finnish	0.78	0.945454537868	55
Finnish	0.8	0.945454537868	55
Finnish	0.82	0.945454537868	55
Finnish	0.84	0.945454537868	55
Finnish	0.86	0.945454537868	55
Finnish	0.88	0.945454537868	55
Finnish	0.9	0.945454537868	55
Finnish	0.92	0.945454537868	55
Finnish	0.94	0.945454537868	55
Finnish	0.96	0.945454537868	55
Finnish	0.98	0.945454537868	55
French	0.0	0.836363613605	55
French	0.02	0.854545474052	55
French	0.04	0.872727274895	55
French	0.06	0.909090936184	55
French	0.08	0.927272737026	55
French	0.1	0.927272737026	55
French	0.12	0.945454537868	55
French	0.14	0.981818199158	55
French	0.16	1.0	55
French	0.18	1.0	55
